customer_id,nik,full_name,phone,email,birth_date
C00000,3211128106645460,Ratna Saptono,081692838642,farah11@example.org,2000-01-16
C00001,3217046418903111,H. Rafid Kuswoyo,081703214070,dlestari@example.net,1977-08-19
C00002,3257040351894191,Dr. Dewi Pratiwi,085273063633,phalimah@example.org,1993-02-22
C00003,3270823013563165,Siska Megantara,082539703612,hnatsir@example.com,1988-06-21
C00004,3280444415156288,Hamima Mayasari,083954342008,zkurniawan@example.net,1968-07-19
C00005,3215880520763682,Warta Megantara,088027276067,rajasadaru@example.org,1966-10-20
C00006,3244963705409267,Lasmono Siregar,088724838113,wardi51@example.org,1999-10-21
C00007,3225611115333541,Syahrini Wasita,082675021566,mahmudkuswoyo@example.com,2001-06-01
C00008,3260859313618104,Nova Wastuti,086155522776,kurniawantaufan@example.com,1989-07-06
C00009,3240471624752690,"drg. Agnes Tamba, S.Kom",085809506443,nurdiyantidartono@example.org,1965-10-30
C00010,,Drs. Artawan Waluyo,086608859468,iswahyudilili@example.net,1981-05-19
C00011,3244225819143739,Gawati Rahmawati,088418247708,winarnowani@example.org,1982-09-25
C00012,3267609781328342,"R.M. Liman Thamrin, S.Ked",087246081432,kalim53@example.net,1972-10-06
C00013,3281160191490463,"Simon Thamrin, M.Pd",086281382563,fwinarno@example.net,1971-05-06
C00014,3213440274314997,Cornelia Prasasta,088748506487,sabri50@example.org,1971-07-12
C00015,3226553883940719,Mariadi Permata,084910418340,winarsihjatmiko@example.com,2005-10-16
C00016,3258572226268519,Daliman Prayoga,084046869282,agusrahayu@example.com,1975-08-30
C00017,3279669353483086,"Sadina Yuniar, S.I.Kom",085125588567,bakidintarihoran@example.net,2005-08-03
C00018,3210996929099888,Kania Simanjuntak,083812317526,murtisiregar@example.net,1975-08-13
C00019,3253829707444323,Juli Kusmawati,085352234969,winarsihmujur@example.org,1989-04-09
C00020,3202634377160873,Bakiman Irawan,ABC,warjiwidiastuti@example.org,1994-07-14
C00021,3282764155891497,"Dr. Shakila Gunawan, M.Ak",086848522023,cawukmanullang@example.net,2001-08-29
C00022,3213073407555928,Salsabila Adriansyah,088920348855,indrasitorus@example.com,1984-10-18
C00023,3262147500228827,Novi Maryadi,085072996101,tami62@example.org,1993-03-26
C00024,3242837746460197,Narji Susanti,084836196647,saadathutagalung@example.org,1999-01-07
C00025,3295599911906239,"R.M. Caraka Puspasari, S.Pt",086027661298,emongsaragih@example.net,1981-08-24
C00026,3214518578550508,Hendra Siregar,084620721516,puspitabalapati@example.com,1997-07-03
C00027,3245552745876705,"Maria Hutagalung, S.Sos",084313862255,taniamahendra@example.net,2007-09-14
C00028,3219188528448142,"R. Betania Dabukke, S.E.I",081185057372,mustofadarijan@example.net,1997-01-15
C00029,3247756104522533,Galar Padmasari,085926218098,khalim@example.org,1970-09-27
C00030,3234738357895281,Lalita Palastri,086369504187,siraitdadap@example.net,2035-01-01
C00031,3266045451481410,"Mulyanto Hastuti, S.Pt",082336426069,sakti70@example.net,1978-04-23
C00032,3239025946833607,"R.M. Legawa Budiyanto, S.Pd",087706185420,prima60@example.com,1983-12-04
C00033,3255311813497427,Dirja Sihombing,087383882053,martana29@example.com,2008-03-17
C00034,3206521944392885,Unjani Mardhiyah,083823748028,zsuartini@example.net,1974-07-23
C00035,3263371053607222,Putri Budiman,087689182501,amangunsong@example.org,2000-12-22
C00036,3271246468757224,"Ibun Hastuti, S.IP",085590131728,kajen26@example.net,2008-05-14
C00037,3290949154574910,Ir. Nabila Dongoran,082009223738,leo83@example.org,1999-09-03
C00038,3263787102608680,"Rachel Puspasari, S.E.I",089307607267,leo21@example.org,1979-03-06
C00039,3293186884631608,Qori Maulana,086263655414,budimankarna@example.org,1968-10-17
C00040,3211128106645460,"Drs. Gina Putra, S.Psi",081896024609,iswahyudifitriani@example.net,1986-10-28
C00041,3235604733395999,Tgk. Viman Prasetya,083652635383,himawan33@example.org,2007-07-31
C00042,3249162611507499,Zulfa Halim,089456143461,latuponodwi@example.com,2000-04-09
C00043,3268285031487868,Cornelia Kuswoyo,086657248408,luwes56@example.org,1971-05-10
C00044,3297389912702267,Sutan Wadi Hassanah,084250758663,ajiman10@example.org,1982-10-29
C00045,3235995916684580,Sabrina Nugroho,082704879270,daliman38@example.net,1998-07-06
C00046,3255133020346836,Titin Pradipta,083078617676,karman58@example.net,1999-01-11
C00047,3295051295257508,Laila Latupono,082668918459,nadine77@example.org,1969-03-10
C00048,3262484139370391,Ina Sihombing,089921658483,tasdiksimbolon@example.com,1996-02-17
C00049,3222465171243513,Kamidin Hakim,081340351553,bagusbudiman@example.org,1974-04-12
C00050,3213376443277924,Ami Tarihoran,089625793698,purwantiwarta@example.net,1974-05-09
C00051,3227681907804904,"Drs. Febi Andriani, S.E.",089493737203,arissirait@example.org,2008-01-26
C00052,3261622643107496,Gilda Lestari,082909043855,asmanoktaviani@example.net,1982-03-09
C00053,3220685669626734,"Hj. Queen Rahmawati, S.T.",086826306799,prayoga98@example.net,1995-03-05
C00054,3252869194814771,Limar Prakasa,084364859128,bahuraksa28@example.net,2004-03-12
C00055,3240267457199494,Anastasia Hasanah,089517545108,mansurcici@example.com,1972-01-11
C00056,3207832038166784,"Maya Hastuti, M.Farm",086249777729,uoktaviani@example.org,1996-09-18
C00057,3221086175255957,Kamaria Lazuardi,088049484857,kacungsihombing@example.org,1993-09-24
C00058,3272370902684662,Sadina Tamba,083973688282,ibun61@example.com,1969-04-03
C00059,3293690014516913,Manah Mandasari,089379561311,cahyanto50@example.com,1968-06-12
C00060,3237974082029114,Hj. Intan Ramadan,082794423332,nardiramadan@example.org,1970-03-28
C00061,3250152484865506,"Carla Sirait, S.H.",082809855831,trihasanah@example.net,2005-01-31
C00062,3240520314361794,Cut Uchita Novitasari,082176525196,khidayanto@example.org,1991-03-17
C00063,3240830241168919,"drg. Bancar Manullang, S.I.Kom",088824733052,paramitapranowo@example.org,2007-06-27
C00064,3272469395472750,Dr. Rahmat Palastri,086491797365,prakasaami@example.com,2003-06-18
C00065,3233471961133267,"Indra Haryanti, S.I.Kom",082855385706,edi59@example.org,1978-06-19
C00066,3279566466803616,"Kanda Hasanah, S.Pt",082217079173,ilsa79@example.com,1974-01-12
C00067,3298243846620181,T. Warji Firgantoro,084142763767,wardayaprasetya@example.net,1997-05-01
C00068,3215301027269876,Oskar Laksita,088119418312,osinaga@example.org,1990-06-29
C00069,3271174535074883,Dr. Ellis Wastuti,084457127401,prabudongoran@example.org,1997-11-08
